3 D моделиров факультатив;3 D модел фак
Автоматизация производства;АвтомПр
Автоматизация управленченской деятельности предприятия;АвтУпрДеят
Автоматизация электронного делопрроизвлдства и документооборота в офисе;Авт электр дел
Автоматизация электрооборудования и систем электроснабжения предприятий;Автомат электр
алгебра учит рассуждать;алгебра
Анализ хозяйственой деятельности;АХД
Английский язык в профессии;АнглЯзПроф
Арифметико-логические основы вычислительной техники;Арифмет-лог ВТ
Архивоведение;Архивоведение
Астрономия;Астрономия
Базовые технлогические процессы производства;Баз тех ПП
Базы данных и системы управления базами данных;Базы данных
Белорусская литература;Бел Лит
Белорусский язык;Бел Яз
Белорусский язык (профлексика);Бел Яз Проф
Биология;Биология
Бухгалтерский учет;Бух учет
Введение в Linux;Введен. в Linux
Введение в специальность;Введение в спец
Веб-программирования для мобильных устройств;ВП для МУ
Визуальное проектирование графических интерфейсов;Визуал проект
ВКЭ;ВКЭ
Внепавильонная съемка;Внепавил съемка
Воспитательный час;Восп. час
Всемирная история;Вс Истор
География;География
Гидравлические и пневматические системы;Гид и пнев сист
Деловая документация;Дел док
Документационное обеспечение управления;ДОУ
Допризывная подготовка;ДП
Допуски, посадки и технические измерения;Допуски
Защита информации;Защита инф
Защита компьютерной информации;Защита КИ
Защита населения и территории от чрзвычайных ситуаций;ЗНТЧС
Инженерная графика;Инж графика
Инженерная и компьютерная графика;Инж и комп граф
Иностранный язык;Ин Яз
Иностранный язык (профлексика);ИнЯз Проф
Иностранный язык в профессии;Ин Яз в проф
Иностранный язык делового общения;Ин Яз дел общ
Инструментальное программное обеспечение;Инструмент ПО
Информатика;Информатика
Информационные технологии;Инф техн
использование вычислительной техники без визуального контроля;исп выч техн
Испытание и контроль качества микроэлектронных устройств;Испытание
История Беларуси;Ист Бел
История и искусство фотографии;Ист и иск фото
История изобразительного искусства;Истор изобр иск
Кадровое делопроизводство;Кадровое дел
Компьютерная графика;Комп графика
Компьютерная обработка изображений;Комп обраб изоб
Компьютерные сети;Комп сети
Компьютерные технологии в фотографии;Комп тех в фото
Компьютерный практикум;Комп. практикум
Конструирование программ и языки программирования;КПиЯП
Коррупция и ее общественная опасность;Коррупция
Математика;Математика
Математическое моделирование;Мат модел
Материаловедение;Матвед
Материалы и компоненты электронной техники;Мат комп эл тех
Медицинская подготовка;Мед Под
Мехатронные модули системы;Мех модули сист
Микропроцессорная практика;МикроПр практ
Микропроцессорная техника;Микропр Техн
Микропроцессы технология;Микропроцессы т
Мобильные вычислительные системы;Моб выч сис
Моделирование и оптимизация технологических процессов;Мод и опт ТП
Монтаж узлов и блоков;Монт узл и блок
Надежность технологического оборудования;Надежность ТО
Наладка и эксплуатация оборудования для производства изделий микроэлектронной техники;НЭОПИМ
Наладка и эксплуатация оборудования для сборки и монтажа изделий микроэлектроники;НОС
Наладка и эксплуатация оборудования для термических и ВЭП;НТВ
Наладка и эксплуатация оборудования ЛП;НЛО
Наноматериалы;Наноматериалы
Наноэлектроника и приборы на квантовых эффектах;Наноэлектроника
Наноэлектронные технологии и наноматериалы;НТиН
Немецкий язык;Нем. яз.
нормативно-техническая документация;норм-техн док
Нормирование точности и технические измерения;Нормирование
Оборудование производства микроэлектронных устройств;Оборуд пр м/э
Обработка бух.информации на ПК;Обраб. бух.инф
Обработка бухгалтерской информации на ПК;Обр бух инф ПК
Обслуживание аппаратного обеспечения мобильных;Обслуж АО Моб
Обслуживание и эксплуатация лифтового оборудования;ОиЭЛифтОборуд
Обслуживание лифтов;Обслуж. лифтов
Общая технология;Общ технология
Общая технология производства;Общ технол пр
Обществоведение;Обществовед
Общий курс слесарного дела;Общ курс слес д
ОДНВиП;ОДНВиП
Операционные системы;Оперсис
Оптимизация технологических процессов;Оптимизация тех
Организация ЭВМ и систем;Организ ЭВМ
Оргтехника;Оргтехника
Основы автоматизации производства;Основы автПр
Основы автоматики;Основы автомати
Основы алгоритмизации и программирования;ОсА
Основы архивоведения;Осн архивов
Основы бухгалтерского учета;Основы бухучета
Основы вычислительной техники;Основы ВТ
Основы гидро- и пневмопривода;Осн гидро
Основы делопроизводства;Делопр-во
основы дизайна;Осн дизайна
Основы идеологии Белорусского государства;Основы идеолог
Основы инженерной графики;Основы инж гр
Основы компьютерной техники;Основы комп тех
Основы конструирования и технлогия произвосдтва электронных вычислительных средств;ОКиТПЭВС
Основы логического проектирования;Осн лог проект
Основы маркетинга;Осн маркетинга
Основы менеджмента;Осн менеджмента
Основы мехатроники;Осн мехатр
Основы микроэлектроники;Осн микроэл
Основы права;Основы права
Основы предпринимательской деятельности;Осн предпр дея
Основы производства видеофильмов;Осн пр видеофил
Основы промышленной электроники;Пром Электр
Основы редактирования на белорусском языке;Ред БелЯз
Основы редактирования на русском языке;Ред РусЯз
основы семейной жизни;осн сем жизни
Основы социально гуманитарных наук;ОСГН
Основы социальной психологии;Соц психол
Основы схемотехники;Основы схемотех
Основы схемотехники;Основы схемотех
Основы технической механики;Тех Мех
Основы технологии машиностроения;Техн Машиностр
Основы технологии производства изделий микроэлектроники;ОТП
Основы управления интеллектуальной собственностью;Интел Собствен
Основы экономики;Осн экономики
Основы электроники и микроэлектроники;Осн электрон
Основы электропривода;Осн.эл.привода
Офисное программирование;Офисное програм
Охрана окружающей среды;ООС
Охрана окружающей среды и энергосбережение;ООСиЭ
Охрана труда;Охрана труда
Павильонная съемка;Павильон съемка
ПДД;ПДД
Пластическме массы и оборудование для их переработки;Пласт м и об
ПО и программирование АО;ПО и прАО
повторяем математику;повторяем матем
